attore,film,anno
Clarence Williams III,Half Baked,1998
Nia Long,Premonition,2007
Seung-Wook Lee,Gonjiam: Haunted Asylum,2018
Rmy Girard,The Decline of the American Empire (Le Dclin de l'Empire Amricain),1986
Jacob Lofland,Free State of Jones,2016
Edgar Buchanan,The Sea of Grass,1947
Justin Kelly (VIII),Big Muddy,2015
Robin Williams,Boulevard,2015
Dominique Rozan,With a Friend like Harry...,2001
Ethan Hawke,White Fang,1991
John Bennett,Watership Down,1978
Tony Shalhoub,The Last Shot,2004
Ike Barinholtz,Snatched,2017
Charles Laughton,This Land Is Mine,1943
Russell Crowe,The Mummy,2017
Charles Bickford,Days of Wine and Roses,1962
Keith David,Lottery Ticket,2010
Christian Slater,Murder in the First,1994
Jackie Shroff,Eklavya,2007
Parker Mack,Ouija: Origin of Evil,2016
Jason Mitchell,Vincent N Roxxy,2017
Aleks Paunovic,Siberia,2018
Tianlu Li,Daughter of the Nile (Ni luo he nu er),1987
Jack Palance,Halls of Montezuma,1950
Teresa Palmer,Take Me Home Tonight,2011
Anna Paquin,A Walk on the Moon,1999
John Travolta,Grease,1978
Tony Cavalero,Ghost Team One,2013
James Marsden,The Box,2009
Kevin Jamal Woods,The Little Rascals,1994
Izabella Scorupco,Reign of Fire,2002
Clint Jordan,Down to the Bone,2005
Kate Nash,Syrup,2013
Jane Forth,Imagine: John Lennon,1988
Luana Anders,Greaser's Palace,1972
Toby Stephens,Cousin Bette,1998
Alexei Petrenko,12,2007
Harry Davenport,The Thin Man Goes Home,1945
Linda Marsh,Freebie and the Bean,1974
Nicholas Campbell,Fast Company,1979
Jonathan Raggett,The Lady,2012
Sugizo,We Are X,2016
Jung-min Hwang,Veteran,2015
Wojciech Mecwaldowski,11 Minutes (11 Minut),2016
Steve Cochran,Il Grido (The Cry),1957
Brett Kelly,Bad Santa 2,2016
Dan Aykroyd,Antz,1998
Jos M. Sacristn,"Madrid, 1987",2012
Gawn Grainger,August,1996
Neil Fanning,Scooby-Doo,2002
Eddie Collins,Drums Along the Mohawk,1939
Morgan Freeman,Robin Hood: Prince of Thieves,1991
John Payne,Kansas City Confidential (The Secret Four),1952
Nestor Paiva,Revenge of the Creature,1955
Aomi Muyock,Love,2015
Peter Sarsgaard,An Education,2009
Jennifer Leigh Warren,Grace of My Heart,1996
Melvil Poupaud,The Broken,2008
Oleg Menshikov,East/West,2000
Antoinette Noufaily,Where Do We Go Now?,2012
Richard Gere,King David,1985
Emmanuel Mouret,Un Baiser s'il vous plat (Shall We Kiss?),2009
Stefano Santospago,Heaven,2002
Burt Kwouk,Kiss of the Dragon,2001
Joe Sawyer,Gilda,1946
Mary Alden,The Birth of a Nation,1915
William H. Macy,Krystal,2018
Fiona Dourif,Curse of Chucky,2013
Rachel McAdams,Wedding Crashers,2005
George Peppard,How the West Was Won,1963
Ellen Burstyn,Requiem for a Dream,2000
George Segal,The Babysitter,1995
Richard Griffiths,Bedtime Stories,2008
Mercedes Ruehl,The Fisher King,1991
Ryan Kwanten,Legend of the Guardians: The Owls of Ga'Hoole,2010
Felicity Kendal,Shakespeare Wallah,1966
Daniel Stern,The Last Time,2007
Emilio Rivera,Filly Brown,2013
Julie Brister,Night of the Living Deb,2014
Daryl Sabara,Spy Kids 3-D - Game Over,2003
David Thewlis,The Zero Theorem,2014
Therese Bradley,Half Light,2005
Stephen Walters,Splintered,2010
Tim Bagley,Employee of the Month,2006
Ed Harris,Salvation Boulevard,2011
Oscar Isaac,W.E.,2012
Ward Bond,Mister Roberts,1955
Dan Stevens (IV),Norman (Norman: The Moderate Rise and Tragic Fall of a New York Fixer),2017
David Tennant,St Trinian's II: The Legend of Fritton's Gold,2009
Lionel Barrymore,Dinner at Eight,1933
Bruria Shaked-Okon,Follow Me: The Yoni Netanyahu Story,2012
John Hawkes,Higher Ground,2011
Mike Myers,Shrek the Third,2007
Amaneh Ekhtiar-dini,Zamani baray masti asbha (A Time for Drunken Horses)(Intoxication for Horses),2000
Gloria Steinem,RBG,2018
Tristano Casanova,Summer Storm (Sommersturm),2006
Nicholas Hammond,Lord of the Flies,1963
Sam Rockwell,Conviction,2010
Gaby Hoffmann,Goodbye World,2014
Paul Sorvino,The Brooklyn Banker,2016
Malcolm McDowell,Doomsday,2008
Samantha Geimer,Roman Polanski: Wanted and Desired,2008
Eddie Deezen,The Polar Express,2004
Concetta Tomei,Don't Tell Mom the Babysitter's Dead,1991
Julia Voth,Bitch Slap,2010
Dr. David Suzuki,Force of Nature: The David Suzuki Movie,2011
Natasha Richardson,Waking Up in Reno,2002
Billy Carter,Festival,2005
Sima Mobarakshai,Offside,2006
Robert Ryan,The Professionals,1966
Jonathan Freeman,Aladdin,1992
Paul Bandey,The Illusionist (L'illusionniste),2010
Chiara Tomarelli,I Am Love,2010
Sandra Oh,"Long Life, Happiness & Prosperity",2004
David DeSanctis,Where Hope Grows,2015
Peter Sarsgaard,The Dying Gaul,2005
Douglas Fowley,Scared to Death,1947
Tom Papa,The Haunted World of El Superbeasto,2009
Haley Bennett,College,2008
Adrienne Shelly,Revolution #9,2001
Cec Linder,A Touch of Class,1973
Hailee Steinfeld,Pitch Perfect 3,2017
Liliana Mumy,Santa Buddies,2009
Drew Barrymore,Confessions of a Dangerous Mind,2003
Erika Brodzky,Sleeping Giant,2015
Ned Sparks,Imitation of Life,1934
Michael Sacks,Slaughterhouse-Five,1972
Ossie Davis,The Hill,1965
Simeonie Kavik,People Of A Feather,2013
Rob Mayes,Burning Blue,2014
Michael Dillane,Man of Aran,1934
Igor Chernevich,How I Ended This Summer,2010
John Jarratt,100 Bloody Acres,2013
Nick Nolte,Three Fugitives,1989
Danielle Panabaker,Sky High,2005
Esther Minciotti,Marty,1955
Tom Cavanagh,Sublime,2007
Heather Graham,Say It Isn't So,2001
Whoopi Goldberg,Bogus,1996
Michael Angarano,The Forbidden Kingdom,2008
Nick Cravat,The Flame and the Arrow,1950
Mike Park,In Between Days,2007
French Stewart,Duck,2005
Robert Carlyle,Eragon,2006
Richard Joseph Paul,An Englishman in New York,2009
Shannon Woodward,The Haunting of Molly Hartley,2008
Michael Hall D'Addario,Sinister,2012
Timothy Omundson,Woody Woodpecker,2017
Manuel Cabral,Manito,2003
Rebecca De Mornay,Runaway Train,1985
Rosie Perez,Fearless,1993
Olimipa Melinte,Cannibal,2014
Cameron Diaz,My Best Friend's Wedding,1997
George Gaynes,Police Academy 3: Back in Training,1986
Eunice Gayson,From Russia With Love,1964
Armie Hammer,Cars 3,2017
Edgar Buchanan,The Talk of the Town,1942
Megan Duffy,Maniac,2013
Donna Kimball,Solaris,2002
Tomas Arana,Derailed,2002
Lio Lina,Mardi Gras: Made in China,2005
Donnie Yen,Rogue One: A Star Wars Story,2016
Jayne Brook,Last Dance,1996
Gabrielle Haugh,The Midnight Man,2018
Jerry Damons,The Pleasure of Being Robbed,2008
Gary Lewis,My Name Is Joe (Mein Name ist Joe),1999
Judy Davis,A Passage to India,1984
Eugene Levy,Multiplicity,1996
Loretta Devine,I Am Sam,2001
Michael Ealy,Seven Pounds,2008
Catherine Keener,The Interpreter,2005
Jane Levy,Fun Size,2012
Adam Carolla,The Hammer,2007
Jason Flemyng,Bruiser,2000
Eric Trosman,Jailbait,2004
Joseph Thelman,Tombs Of The Blind Dead (Noche del terror ciego),1972
Jack Black,The Polka King,2017
L.Q. Jones,The Jack Bull,1999
Scott Glenn,Absolute Power,1997
Ryoko Hirosue,Okuribito (Departures),2009
AnnaSophia Robb,The Reaping,2007
John Ireland,Red River,1948
Lionel Jeffries,Camelot,1967
Arnold Johnson,Putney Swope,1969
Johnny Depp,Benny & Joon,1993
Kenneth Cranham,Closed Circuit,2013
Rudy Ray Moore,Dolemite,1975
Josh Peck,Ice Age 2: The Meltdown,2006
Anton Yelchin,Cymbeline,2015
Jocelyn Lovell,Marinoni: The Fire in the Frame,2016
Jackie Earle Haley,The Bad News Bears,1976
Cliff Robertson,John Carpenter's Escape from L.A.,1996
Lily Tomlin,Orange County,2002
Claire Foy,Rosewater,2014
Michael J. Pagan,See No Evil,2006
Red Buttons,Viva Knievel!,1977
Michael Kelly,The Afterlight,2010
Raymond Massey,Reap the Wild Wind,1942
Brad Pitt,Fury,2014
Shelley Conn,Nina's Heavenly Delights,2007
Ian Burfield,The Selfish Giant,2013
Douglas Fairbanks,The Iron Mask,1929
Sonya Walger,Cold Turkey,2013
Minor Watson,The Star,1952
Robert Wagner,Curse of the Pink Panther,1983
Paul Alelyanes,Punishment Park,1971
Linus Roache,The Chronicles of Riddick,2004
Glenn Fitzgerald,Tully,2002
Taika Waititi,Eagle vs Shark,2007
Julius Harris,Live and Let Die,1973
Clare Kelly,Georgy Girl,1966
Lorri Davis,West of Memphis,2012
George McGregor,Detropia,2012
Nigel Harris,Control,2007
Hari,Shock Corridor,1963
Dafne Keen,Logan,2017
Javiera Bravo,Historias mnimas (Intimate Stories),2005
Michael Richards,Problem Child,1990
Sandy Duncan,"The $1,000,000 Duck",1971
Jim Byrnes,War of the Worlds: Goliath,2014
Jill Eikenberry,Arthur,1981
Anton Yelchin,Terminator Salvation,2009
Karim Ait M'hand,Salvation Army,2015
Tye Sheridan,Entertainment,2015
Chris J. Kelly,Ink,2009
Eusebio Poncela,Law of Desire,1987
Jeff Bridges,The Contender,2000
Leo Minaya,Manito,2003
Jason Sudeikis,Race,2016
Michael Sheen,Jesus Henry Christ,2012
Anthony Dunne,Objectified,2009
Mark Pellegrino,A Murder of Crows,1999
Leslie Nielsen,Creepshow,1982
Annette De la Renta,Bill Cunningham New York,2011
David Morse,Disturbia,2007
Rick Rossovich,The Lords of Discipline,1983
Jennifer Aniston,Bruce Almighty,2003
George Segal,The St. Valentine's Day Massacre,1967
Anna Paquin,Blue State,2007
Alix Wilton Regan,World of the Dead: The Zombie Diaries 2,2011
James Spader,Critical Care,1997
Dennis Franz,City of Angels,1998
Ben Cross,Wicked Little Things,2006
Sean Pertwee,Goal! The Dream Begins (Goal!: The Impossible Dream),2005
Philip Steadman,Tim's Vermeer,2014
Kevin Bewersdorf,Stand Clear Of The Closing Doors,2014
Michael Dean Jacobs,Orgazmo,1998
Lea Thompson,Left Behind,2014
Forest Whitaker,Body Snatchers,1993
Diane Keaton,Marvin's Room,1996
James Coburn,Hard Times,1975
Ainsley Howard,Mum & Dad,2008
Catherine Schell,The Return of the Pink Panther,1975
Kelly Lin,Fulltime Killer,2003
James Gandolfini,The Mexican,2001
John Curro,The Curse Of The Gothic Symphony,2011
Peter Lorre,"20,000 Leagues Under The Sea",1954
Luke Wilson,Henry Poole Is Here,2008
Dee Wallace,The Howling,1981
G.W. Bailey,Short Circuit,1986
Jimmy Yuill,Princess Ka'iulani,2010
Claire Maurier,The 400 Blows (Les Quatre cents coups),1959
Feodor Chaliapin Jr.,La Chiesa (The Church) (Cathedral of Demons),1989
Paul Giamatti,Duplicity,2009
Michael Taylor,Mischief Night,2014
Stephen Rea,Men degustaci (Tasting Menu),2014
Jeff York,Old Yeller,1957
Tony Darrow,Kill the Irishman,2011
Stephen Moyer,Devil's Knot,2014
Leonardo DiCaprio,The Departed,2006
John Patrick Amedori,The Vatican Tapes,2015
Henry Stephenson,Little Lord Fauntleroy,1936
Maggie Blye,Hard Times,1975
Paul Morrissey,A Walk Into the Sea: Danny Williams and the Warhol Factory,2007
John Boyd,Mercy,2010
Li Chen,Aftershocks (Tangshan dadizhen),2010
Peter Stormare,Fargo,1996
Nan Yu,Tuya's Marriage,2006
Karen Black,Gypsy 83,2001
Rashaan Nall,Leprechaun in the Hood,2000
Nargis,Mother India,1957
George Carlin,Tarzan II,2005
Richard Lintern,The Gospel of John,2003
"Kirk ""Sticky Fingaz"" Jones",Changing the Game,2012
Maggie Grace,Faster,2010
Candice Accola,Deadgirl,2008
Scott Wilson,Clay Pigeons,1998
David Wenham,Lion,2016
Jos Julin,A Better Life,2011
Susan Salzberg,One Track Heart: The Story of Krishna Das,2013
Karl Malden,Patton,1970
Lia Johnson,I'm Through with White Girls (The Inevitable Undoing of Jay Brooks),2007
Elisabeth Kaza,Castle Freak,1995
Liana Liberato,Haunt,2014
Isabelle Huppert,Mrs. Hyde (Madame Hyde),2018
Andrew McCarthy,Pretty in Pink,1986
Franc Falico,Grizzly Man,2005
Om Puri,Viceroy's House,2017
Joseph Lyle Taylor,Dead Man's Burden,2013
50 Cent,Righteous Kill,2008
Leelee Sobieski,The Wicker Man,2006
Charles Dance,Hilary and Jackie,1998
James Doohan,Star Trek II: The Wrath of Khan,1982
Ryan Phillippe,Catch Hell,2014
Emma Bell,Final Destination 5,2011
Bruce Willis,"Look Who's Talking, Too",1990
Roger Guenveur Smith,Justice,2004
Kevin Leslie,I Am Vengeance,2018
Julie Andrews,10,1979
Ashley Bell,Carnage Park,2016
Brandy Gold,Wildcats,1986
Maggie Grace,The Fog,2005
Shawnee Smith,Wes Craven Presents: Carnival of Souls,1998
Alexis Dziena,Mimic: Sentinel,2003
Jack Palance,Bagdad Cafe,1988
Frances Conroy,Catwoman,2004
Liam Neeson,Chloe,2010
Antoine Byrne,I Went Down,1998
Mickey Rooney,Breakfast at Tiffany's,1961
Oscar Isaac,X-Men: Apocalypse,2016
Chris Clark,Morning Light,2008
Frieda Richard,Faust,1926
Robert Kerman,Cannibal Ferox,1981
Eili Harboe,The Wave (Bolgen),2016
Michael Hordern,Lady Jane,1986
Tommy Davidson,Booty Call,1997
Yaphet Kotto,The Star Chamber,1983
Kolya Spiridonov,The Italian,2007
Shepperd Strudwick,All the King's Men,1949
Brad Dexter,Last Train from Gun Hill,1959
Lester Matthews,Werewolf of London,1935
Aaron Sauter,Ace the Case: Manhattan Mystery,2016
Luke Evans,Immortals,2011
Philip Seymour Hoffman,The Savages,2007
Brian Cox,Manhunter,1986
America Ferrera,Special Correspondents,2016
Olivia Williams,Now Is Good,2012
Kirsten Dunst,How to Lose Friends & Alienate People,2008
Jing Boran,The Guillotines,2013
Kristen Bell,Astro Boy (AstroBoy),2009
Christopher Daniel Barnes,The Little Mermaid,1989
Elle Fanning,The Nines,2007
Patti D'Arbanville,A Tale of Two Pizzas,2003
Johnny Simmons,The Greatest,2010
Virginia Gardner,Goat,2016
Crystal Ice,American Honey,2016
Mari Blanchard,Twice Told Tales,1963
Anna Wintour,Dior and I,2015
Saoirse Ronan,The Way Back,2011
Miles O'Keeffe,"Tarzan, the Ape Man",1981
Amy Albany,Anita O'Day: The Life of a Jazz Singer,2007
Matthew McConaughey,Sahara,2005
Al Pacino,Jack and Jill,2011
Larry Domasin,Fun in Acapulco,2000
Mark Moses,Big Momma's House 2,2006
Larry Bloch,Wetlands Preserved: The Story of an Activist Rock Club,2005
George Coe,Best Seller,1987
Charles Dance,Pride and Prejudice and Zombies,2016
Pierre Richard,Mia et le Migou (Mia and the Migoo),2011
Jami Gertz,Keeping Up With The Steins,2006
Brendan Gleeson,Dark Blue,2003
Chris Gauthier,The Traveler,2010
Lisa Bowman,River of Grass,1995
Anne Alvaro,Last Love,2013
Bill Mauldin,The Red Badge of Courage,1951
John Cusack,Adult World,2014
Dane DeHaan,The Amazing Spider-Man 2,2014
Anna Kendrick,The Hollars,2016
Arthur Q. Bryan,The Bugs Bunny/Road Runner Movie,1979
Lar Lubovitch,Joffrey: Mavericks of American Dance,2012
Margareth Mad,Baara,2009
Bela Lugosi,Plan 9 from Outer Space,1959
Adam Hicks,How to Eat Fried Worms,2006
Genesis Rodriguez,Identity Thief,2013
Tom Cruise,War of the Worlds,2005
Val Kilmer,Alexander,2004
Gwyneth Paltrow,Moonlight and Valentino,1995
Glenne Headly,Dirty Rotten Scoundrels,1988
Hasi Bagen,Warriors of Heaven and Earth (Tian di ying xiong),2004
Tommy Rettig,"The 5,000 Fingers of Dr. T",1953
Elizabeth McGovern,Angels Crest,2011
Ed O'Ross,Red Heat,1988
Jenny Wade,No Reservations,2007
Ahmed Shaheed,The Island President,2012
James Garner,Murphy's Romance,1985
Aamir Khan,Like Stars on Earth,2007
Eli Kranski,Holding Trevor,2007
Ana Gasteyer,Dare,2009
Micheline Presle,Babe: Pig in the City,1998
Luis Moreno-Ocampo,Watchers of the Sky,2015
Patrick Heusinger,Jack Reacher: Never Go Back,2016
Issaka Sawadogo,Samba,2015
Johnathon Schaech,The Prince,2014
Henrik Elvestad,Reprise,2006
Charles Powell,Grey Owl,1999
Ashley Aufderheide,Infinitely Polar Bear,2015
Brooke Shields,Freeway,1996
Rosario Dawson,Shattered Glass,2003
Donald Pleasence,"Oh, God!",1977
Ewa Frling,Krlighed p Film (Just Another Love Story),2007
Sakina Jaffrey,The Toe Tactic,2009
Christa B. Allen,13 Going on 30,2004
Judy Parfitt,The Moth Diaries,2012
Courtenay Taylor,Resident Evil: Damnation,2012
Yu Ai Lei,The Lost Bladesman (Guan yun chang),2011
Jon Favreau,Very Bad Things,1998
Daniel Giusti,Ants on a Shrimp,2016
Hayao Miyazaki,The Kingdom of Dreams and Madness,2014
Hugo Arana,La Historia Oficial (The Official Story),1985
Madeleine Carroll,The Prisoner of Zenda,1937
Ilona Massey,Frankenstein Meets the Wolf Man,1943
David Duchovny,Playing God,1997
Harvey Keitel,Blue in the Face,1995
Dean Cain,God's Not Dead,2014
Bob Hoskins,Mrs. Henderson Presents,2006
Mekhi Phifer,Clockers,1995
Andr Dussollier,Life of Riley,2014
Jennifer Connelly,Waking the Dead,2000
Christian Meier,La mujer de mi hermano,2006
Charles Cioffi,Time After Time,1979
Michel Piccoli,The Empire in Africa,2006
James Glickenhaus,Sex Addict,2008
Lloyd Handwerker,Famous Nathan,2015
Greg Kinnear,Salvation Boulevard,2011
Ann Dowd,Big Driver,2014
Nikita Peretomovs,In the Fog,2013
Philippe Caubre,My Father's Glory (La Gloria de Mon Pere),1990
Madeline Kahn,"What's Up, Doc?",1972
Natalie Portman,Star Wars: Episode I - The Phantom Menace,1999
Roseanne Supernault,Rhymes For Young Ghouls,2014
Farhan Akhtar,Bhaag Milkha Bhaag,2013
Charlotte Sullivan,Radius,2017
Russell Peters,Supercon,2018
Valentina Cortese,Le amiche,1955
Paige O'Hara,Belle's Magical World,1998
Tim DeKay,Big Eden,2001
Ryan O'Nan,Anguish,2015
Len Cariou,Never Talk to Strangers,1995
Bruce Davison,Paulie,1998
T.J. Miller,Gulliver's Travels,2010
Max Rhyser,Gold Star,2017
Dwier Brown,The Cutting Edge,1992
Oona Laurence,Lamb,2016
Paul Walker,The Fast and the Furious,2001
Magda Szubanski,The Crocodile Hunter: Collision Course,2002
Hutch Harris,Buddymoon,2016
Jake Moreno,Colma: The Musical,2006
Kim Novak,Pushover,1954
Imelda Staunton,The Pirates! Band of Misfits,2012
Oscar Avila,Transpecos,2016
Giovanna Mezzogiorno,Vincere,2010
Dawid Ogrodnik,11 Minutes (11 Minut),2016
Ian Robison,Replicant,2001
Michael Shannon,Man of Steel,2013
Nikolaj Lie Kaas,The Green Butchers,2004
Walter Pidgeon,How Green Was My Valley,1941
Loles Len,The Queen of Spain (La reina de Espaa),2017
Chris Klein,American Pie 2,2001
Jennifer Warren,Night Moves,1975
Wendi McLendon-Covey,Bridesmaids,2011
Lynette Curran,The Year My Voice Broke,1987
Carl Brisson,The Manxman,1929
Cary Grant,Mr. Lucky,1943
Ursula Andress,"What's New, Pussycat?",1965
Luis Guzman,Punch-Drunk Love,2002
Tracey Ullman,Robin Hood: Men in Tights,1993
Meredith MacNeill,Festival,2005
Nicholas Tucci,Most Beautiful Island,2017
Kristin Scott Thomas,The Party,2018
Logan Lerman,Stuck in Love,2013
Andy Garcia,The Man from Elysian Fields,2001
Bill Clinton,Let's Get Frank,2003
Yves Montand,Grand Prix,1966
Chris Wylde,The Revenant,2012
Xavier Samuel,Bait,2012
Femi Benussi,Hatchet for the Honeymoon (Il rosso segno della follia),1970
Geno Silva,A Man Apart,2003
Sara Malakul Lane,Sun Choke,2016
Silvia Tortosa,Horror Express,1974
Justin Long,10 Years,2012
Karen Greene,OT: Our Town,2003
Howard Ryshpan,Rabid,1979
Amy Steel,Friday the 13th Part 2,1981
Jayant,Simon,1980
Chris Carmack,Into the Blue 2: The Reef,2009
Noriyuki 'Pat' Morita,The Karate Kid Part II,1986
Elle Fanning,Galveston,2018
Seung-su Ryu,"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom)",2010
Kwame Anthony Appiah,Examined Life,2009
Harley Jane Kozak,The Favor,1994
Kelly McGillis,Made in Heaven,1987
John Huston,The Wind and the Lion,1975
Helen Shaver,The Color of Money,1986
Harry Andrews,The Hill,1965
Moses Gunn,Heartbreak Ridge,1986
Max L. Raab,Invincible,2002
Bill Pullman,Malice,1993
Lisa Harrow,Omen III: The Final Conflict,1981
Beyonc Knowles,The Fighting Temptations,2003
Al Pacino,"The Godfather, Part II",1974
Joel Murray,God Bless America,2012
Caroline Marohasy,The Horseman,2008
Roni Dayag,Waltz with Bashir,2008
Martin Clunes,Saving Grace,2000
Robinne Lee,Hav Plenty,1998
Robert Arkins,The Commitments,1991
Scott Elrod,Home Run,2013
Jo Ann Pflug,M*A*S*H,1970
Kristina Malandro Wagner,Double Dragon,1994
Eddie Murphy,Trading Places,1983
Timothy Spall,Gothic,2002
Portia de Rossi,Cursed,2005
Giuliano Gemma,Mad Love,2002
Paolo Maloo,Lo Squartatore di New York (The New York Ripper),1982
Kelly LeBrock,Hard to Kill,1990
Kevin Corrigan,Steal This Movie,2000
Terrence Howard,Get Rich or Die Tryin',2005
John Candy,Hot to Trot,1988
Lindsay Sloane,The In-Laws,2003
Kelsey Grammer,Like Father,2018
Jrmie Renier,The Pornographer,2001
Jamie Chung,Bad Johnson,2014
James Stewart,Winchester '73,1950
Klaus Kinski,Burden of Dreams,1982
Antonio Fargas,Putney Swope,1969
Paul Walker,The Lazarus Project,2008
"Don ""DC"" Curry",Next Friday,2000
Edgar Ramirez,Hands of Stone,2016
Fiona Shaw,The Hippopotamus,2017
David Wayne,How to Marry a Millionaire,1953
Nat Wolff,Home Again,2017
Barbara Crampton,Sun Choke,2016
Alicia Silverstone,Vamps,2012
Scott Blais,One Lucky Elephant,2011
Zack Pearlman,The Virginity Hit,2010
Helena Bonham Carter,Toast,2011
Gemma Arterton,The Voices,2015
Michael Lonsdale,Free Men,2012
Peter Firth,An Awfully Big Adventure,1995
Wes Bentley,Cesar Chavez,2014
Thomas Kretschmann,The Pianist,2002
Dylan Walsh,The Lake House,2006
Audie England,Free Enterprise,1999
Eduard Fernndez,Biutiful,2010
Janice Rule,The Swimmer,1968
Emilia Fox,The Wipers Times,2013
Jim Carrey,Disney's A Christmas Carol,2009
James Carpinello,The Punisher,2004
Cheryl Chase,Rugrats in Paris - The Movie,2000
Martin Compston,Sweet Sixteen,2003
Catherine Oxenberg,The Lair of the White Worm,1988
Zeke Hawkins,Turkey Bowl,2011
Alain Ducasse,The Quest of Alain Ducasse (La Qute d'Alain Ducasse),2018
Kyle Santler,Boy Culture,2007
Margaret Atwood,Terms And Conditions May Apply,2013
Yvette Yates,Bloodsucking Bastards,2015
Wang Bozhao,Outcast,2015
Brian Drummond,Escaflowne: The Movie,2000
Kristen Wiig,Meet Bill,2008
Jean-Pierre Cassel,Army of Shadows (L'Arme des ombres),1969
Clement Nicholas Smith,Wallace & Gromit: The Curse of the Were-Rabbit,2005
Denis Lawson,Local Hero,1983
Mekhi Phifer,Dawn of the Dead,2004
Mara Botto,Only Human (Seres queridos),2006
Nick Sandow,The Hungry Ghosts,2010
Chris Coen,A Single Shot,2013
Dborah Franois,L'Enfant,2006
Edward Clements,Metropolitan,1990
Scott Jacoby,The Little Girl Who Lives Down the Lane,1976
Brad Dourif,Seed of Chucky,2004
Donald Cook,Baby Face,1933
Penelope Ann Miller,Big Top Pee-wee,1988
Puneet Issar,Krrish,2006
Kirby Bliss Blanton,The Green Inferno,2015
Katy Jurado,Trapeze,1956
Lamman Rucker,I'm Through with White Girls (The Inevitable Undoing of Jay Brooks),2007
Janet Ulrich Brooks,One Small Hitch,2015
Vaiba Flomo,Pray the Devil Back to Hell,2008
Kristin Scott Thomas,Random Hearts,1999
David Niven,Around the World in 80 Days,1956
Robert Douglas,The Flame and the Arrow,1950
Warren Oates,Blue Thunder,1983
Rachel Melvin,Zombeavers,2015
Stefanie Powers,Experiment in Terror,1962
Mark Douglas,Two Thousand Maniacs!,1964
Rhett Wilkins,The Puffy Chair,2005
Annie Corley,The Bridges of Madison County,1995
Christopher M. Clark,Kalamity,2010
Bill Nighy,Flushed Away,2006
Elise Robertson,American Sniper,2015
Penny Leatherbarrow,Clockwise,1986
Armand Assante,The Mambo Kings,1992
Gina Gershon,Dreamland,2006
Chino Darn,The Laws of Thermodynamics (Las Leyes de la Termodinmica),2018
Jeremy Slate,The Lawnmower Man,1992
Russell Crowe,Bra Boys,2008
Jeffrey Hunter,A Kiss Before Dying,1956
Jasper Polish,The Astronaut Farmer,2006
David Morse,Double Vision,2002
Armin Mueller-Stahl,Avalon,1990
Shirley MacLaine,Elsa & Fred,2014
Ryan Pinkston,College,2008
Dave Finnegan,The Commitments,1991
Vanessa Bayer,Carrie Pilby,2017
James Garner,The Notebook,2004
Ari Graynor,Nick and Norah's Infinite Playlist,2008
William Holden,Love Is a Many Splendored Thing,1955
Craig Robinson,Hot Tub Time Machine,2010
Presley Chweneyagae,Tsotsi (Thug),2006
Swoosie Kurtz,Citizen Ruth,1996
Money Mark,Moog,2004
Henry Travers,It's a Wonderful Life,1946
Joan Leslie,Sergeant York,1941
Marlon Brando,Apocalypse Now Redux,2001
Dustin Hoffman,Kung Fu Panda 3,2016
Ethel Griffies,The Birds,1963
Jakob Shaw,Love Streams,1984
Liam Neeson,Unknown,2011
Nana Patekar,Raajneeti,2010
Scott Horton,Ghosts of Abu Ghraib,2007
Richard Masur,Who'll Stop the Rain,1978
Zach Galifianakis,The Hangover Part III,2013
Lars Ekborg,Summer With Monika (Sommaren med Monika),1953
Suzanne Clment,Mommy,2015
Marcia Strassman,"Honey, I Shrunk the Kids",1989
Jack Black,King Kong,2005
Russell Means,Thomas and the Magic Railroad,2000
De'voreaux White,Trespass,1992
Luana Patten,Home from the Hill,1960
Will Brittain,A Teacher,2013
Morris Chestnut,Ladder 49,2004
Donnie Wahlberg,Righteous Kill,2008
Eric Lehning,Make Out With Violence,2009
Isuzu Yamada,Yojimbo,1961
Sue Lyon,The Night of the Iguana,1964
Kelsey Grammer,Storks,2016
Allan Arbus,Coffy,1973
Milla Jovovich,Stone,2010
Jeff Goldblum,Fay Grim,2007
Jessica Alba,Sin City,2005
Jerry O'Connell,Joe's Apartment,1996
George Cole,Cleopatra,1963
Gene Wilder,Funny About Love,1990
Brian Gleeson,Wake Wood,2009
Giancarlo Esposito,Hate Crime,2005
David Dennis,Disgrace,2008
Martin Lawrence,Bad Boys II,2003
Hugh O'Conor,Rawhead Rex,1987
Zendaya,The Greatest Showman,2017
Caitlin Gerard,The Assignment,2017
David Remnick,The Newspaperman: The Life and Times of Ben Bradlee,2017
Carrie Fisher,Stateside,2004
Pamela Shaw,Lucky Stiff,2015
Victor McLaglen,She Wore a Yellow Ribbon,1949
Keira Knightley,London Boulevard,2011
Charlie Yeung,Chat gim (The Seven Swords),2005
Poppy Montgomery,Magic Beyond Words: The JK Rowling Story,2011
Krysten Ritter,Frost (The Last International Playboy),2009
Jennifer Aniston,The Bounty Hunter,2010
Sara Anne Jones,Toad Road,2013
Arthur Marx,Lunch,2012
Eileen Atkins,What a Girl Wants,2003
Tiger,A Boy and His Dog,1975
Christopher Collins,Wasted! The Story of Food Waste,2017
Kim Yun-seok,The Yellow Sea (Hwanghae),2011
Eva Mendes,Lost River,2015
Marc Warren,Green Street Hooligans,2005
Mary Patton,The Search,1948
Cayden Boyd,The Adventures of Sharkboy and Lavagirl in 3-D,2005
